0,-0.0056
0.0001,-0.0059
0.0004,-0.0055
0.001,-0.0036
0.0017,0.0002
0.0022,0.004
0.0028,0.0065
0.0034,0.0081
0.004,0.0096
0.0047,0.0105
0.0053,0.0107
0.006,0.0109
0.0066,0.011
0.0073,0.0108
0.008,0.0102
0.0087,0.0103
0.0094,0.0115
0.01,0.0123
0.0107,0.0134
0.0114,0.0157
0.0121,0.0194
0.0127,0.0234
0.0133,0.0267
0.0139,0.0296
0.0146,0.0333
0.0153,0.0378
0.016,0.0426
0.0166,0.0474
0.0173,0.0528
0.0181,0.0585
0.0187,0.064
0.0193,0.0688
0.02,0.0734
0.0207,0.0777
0.0214,0.0819
0.022,0.0866
0.0227,0.0919
0.0233,0.0975
0.0239,0.103
0.0247,0.1088
0.0255,0.1151
0.0262,0.121
0.0268,0.1259
0.0275,0.1301
0.0282,0.1348
0.0289,0.1404
0.0295,0.1462
0.0302,0.1523
0.0309,0.1584
0.0316,0.1647
0.0323,0.1709
0.0329,0.1767
0.0336,0.1821
0.0343,0.1874
0.035,0.1935
0.0357,0.2001
0.0363,0.2065
0.0369,0.2123
0.0376,0.218
0.0383,0.2241
0.039,0.2306
0.0396,0.2372
0.0403,0.2433
0.0411,0.2498
0.0418,0.2566
0.0425,0.2635
0.0431,0.27
0.0437,0.2759
0.0443,0.2817
0.045,0.2877
0.0457,0.2942
0.0463,0.3006
0.0469,0.3066
0.0476,0.3127
0.0484,0.3193
0.0491,0.3264
0.0497,0.333
0.0504,0.3393
0.0511,0.3455
0.0517,0.352
0.0524,0.3584
0.053,0.3643
0.0535,0.3699
0.0542,0.3755
0.0549,0.3815
0.0556,0.3882
0.0563,0.395
0.0569,0.4015
0.0577,0.4081
0.0584,0.4148
0.0591,0.4215
0.0597,0.4281
0.0603,0.434
0.061,0.4399
0.0617,0.4462
0.0623,0.4526
0.0629,0.4588
0.0635,0.4643
0.0642,0.4698
0.0649,0.4759
0.0657,0.4829
0.0664,0.49
0.067,0.4964
0.0677,0.5022
0.0684,0.5082
0.069,0.5146
0.0697,0.5207
0.0703,0.5266
0.071,0.5328
0.0717,0.5391
0.0724,0.5456
0.073,0.5517
0.0737,0.5574
0.0743,0.563
0.0751,0.569
0.0757,0.5755
0.0763,0.5817
0.0769,0.5872
0.0776,0.5926
0.0783,0.5984
0.079,0.6045
0.0796,0.6106
0.0803,0.6167
0.081,0.6226
0.0817,0.6286
0.0824,0.635
0.083,0.6412
0.0836,0.6467
0.0842,0.6518
0.085,0.6574
0.0857,0.6636
0.0863,0.6699
0.0869,0.6758
0.0876,0.6815
0.0884,0.6874
0.0891,0.6939
0.0897,0.7001
0.0904,0.7057
0.0911,0.7114
0.0918,0.7174
0.0924,0.7236
0.093,0.7292
0.0936,0.7346
0.0942,0.7397
0.095,0.745
0.0957,0.751
0.0963,0.7571
0.097,0.763
0.0977,0.7688
0.0984,0.7747
0.0991,0.7808
0.0997,0.7864
0.1003,0.7919
0.101,0.7972
0.1017,0.8028
0.1024,0.8087
0.103,0.8144
0.1036,0.8197
0.1043,0.8247
0.105,0.8301
0.1058,0.8363
0.1064,0.8429
0.107,0.8487
0.1077,0.8539
0.1083,0.8589
0.109,0.8643
0.1096,0.8699
0.1103,0.875
0.1109,0.8803
0.1117,0.8859
0.1124,0.8919
0.113,0.8976
0.1136,0.903
0.1143,0.9083
0.1151,0.9138
0.1158,0.9197
0.1164,0.9254
0.1169,0.9307
0.1176,0.9353
0.1183,0.9401
0.119,0.9456
0.1196,0.9513
0.1203,0.9568
0.121,0.9623
0.1218,0.968
0.1225,0.974
0.1231,0.9799
0.1237,0.9849
0.1243,0.9896
0.125,0.9944
0.1257,0.9994
0.1263,1.0047
